EVT_PHYS,EVT_NAME,Sum of ACRES
Riparian,Eastern Great Plains Wet Meadow-Prairie-Marsh,"1,418,581"
Riparian,East Gulf Coastal Plain Near-Coast Pine Wet Flatwoods,"1,381,818"
Riparian,North American Arid West Emergent Marsh,"1,364,541"
Riparian,Southeastern Great Plains Riparian Forest and Woodland,"1,289,766"
Riparian,Arctic Herbaceous Peatlands,"1,284,156"
Riparian,North Pacific Lowland Riparian Forest,"1,262,790"
Riparian,Rocky Mountain Alpine-Montane Wet Meadow,"1,200,008"
Riparian,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,"1,149,025"
Riparian,Central Florida Pine Wet Flatwoods,"1,132,764"
Riparian,Atlantic Coastal Plain Blackwater Stream Floodplain Forest,"1,130,149"
Riparian,Southern Coastal Plain Blackwater River Floodplain Forest,"1,067,730"
Riparian,Laurentian-Acadian Floodplain Forest,"1,057,825"
Riparian,South-Central Interior Large Floodplain Forest,"1,055,078"
Riparian,Great Plains Wooded Draw and Ravine Woodland,"1,043,440"
Riparian,Southern Piedmont Small Floodplain and Riparian Forest,"956,710"
Riparian,South-Central Interior Small Stream and Riparian Forest,"913,645"
Riparian,Northern & Central Ruderal Wet Meadow & Marsh,"900,837"
Riparian,Gulf Coast Chenier Plain Fresh and Oligohaline Tidal Marsh,"840,024"
Riparian,Great Plains Prairie Pothole,"833,543"
Riparian,Floridian Highlands Freshwater Marsh,"812,496"
Riparian,Northern Rocky Mountain Lower Montane Riparian Woodland,"794,729"
Riparian,Southern Atlantic Coastal Plain Large River Floodplain Forest,"789,213"
Riparian,Mississippi Delta Fresh and Oligohaline Tidal Marsh,"785,537"
Riparian,Southern Coastal Plain Nonriverine Basin Swamp,"769,859"
Riparian,Southeastern Native Ruderal Flooded & Swamp Forest,"763,989"
Riparian,Temperate Pacific Freshwater Emergent Marsh,"761,735"
Riparian,Northern Atlantic Coastal Plain Basin Swamp and Wet Hardwood Forest,"740,131"
Riparian,Polar Tidal Marshes and Aquatic Beds,"736,472"
Riparian,Rocky Mountain Lower Montane-Foothill Riparian Woodland,"717,941"
Riparian,North-Central Interior Freshwater Marsh,"711,670"
Riparian,Laurentian-Acadian Shrub Swamp,"710,674"
Riparian,North-Central Appalachian Acidic Swamp,"690,111"
Riparian,Southern Atlantic Coastal Plain Salt and Brackish Tidal Marsh,"690,033"
Riparian,Southeastern Great Plains Floodplain Forest and Woodland,"686,660"
Riparian,Southern Coastal Plain Hydric Hammock,"686,348"
Riparian,Interior West Ruderal Riparian Scrub,"661,186"
Riparian,Western North American Ruderal Wet Meadow & Marsh,"656,509"
Riparian,Mississippi Delta Salt and Brackish Tidal Marsh,"644,032"
Riparian,North-Central Interior and Appalachian Acidic Peatland Woodland,"627,395"
Riparian,Rocky Mountain Lower Montane-Foothill Riparian Shrubland,"624,887"
Riparian,Rocky Mountain Subalpine-Montane Riparian Woodland,"622,376"
Riparian,Laurentian-Acadian Freshwater Marsh,"620,599"
Riparian,Western Great Plains Riparian Woodland,"588,680"
Riparian,Aleutian Herbaceous Peatlands,"552,125"
Riparian,Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,"535,731"
Riparian,Atlantic Coastal Plain Small Brownwater River Floodplain Forest,"530,260"
Riparian,Central Appalachian Stream and Riparian Woodland,"527,297"
Riparian,Northwestern Great Plains Floodplain Herbaceous,"517,127"
Riparian,Mediterranean California Foothill and Lower Montane Riparian Woodland,"477,619"
Riparian,Southern Coastal Plain Nonriverine Cypress Dome,"474,825"
Riparian,Caribbean Coastal Mangrove,"462,359"
Riparian,Western Great Plains Floodplain Herbaceous,"454,496"
Riparian,Western Great Plains Closed Depression Wetland,"451,827"
Riparian,Northern & Central Native Ruderal Flooded & Swamp Forest,"444,260"
Riparian,South Florida Pine Wet Flatwoods,"428,282"
Riparian,Red River Large Floodplain Forest,"427,610"
Riparian,Great Basin Foothill and Lower Montane Riparian Shrubland,"426,437"
Riparian,North-Central Interior Wet Meadow,"415,160"
Riparian,Ozark-Ouachita Riparian Forest,"391,027"
Riparian,Western North American Ruderal Wet Shrubland,"380,380"
Riparian,Northwestern Great Plains Riparian Forest,"380,167"
Riparian,North Pacific Montane Riparian Woodland,"372,246"
Riparian,Southeastern Exotic Ruderal Flooded & Swamp Forest,"361,699"
Riparian,Northern Atlantic Coastal Plain Tidal Salt Marsh,"354,984"
Riparian,Southeastern Ruderal Wet Meadow & Marsh,"354,476"
Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,"351,007"
Riparian,Western Great Plains Riparian Shrubland,"344,236"
Riparian,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,"343,822"
Riparian,Western Great Plains Open Freshwater Depression Wetland,"341,710"
Riparian,Southeastern Great Plains Riparian Herbaceous,"328,368"
Riparian,Aleutian Shrub-Herbaceous Wetlands,"323,948"
Riparian,Boreal-Laurentian Bog,"323,226"
Riparian,Inter-Mountain Basins Alkaline Closed Depression,"316,859"
Riparian,Western Great Plains Floodplain Forest and Woodland,"309,764"
Riparian,Rocky Mountain Subalpine-Montane Riparian Shrubland,"309,420"
Riparian,Northern Atlantic Coastal Plain Riparian and Floodplain Forest,"298,036"
Riparian,Aleutian Herbaceous Wetlands,"279,850"
Riparian,Texas Saline Coastal Prairie,"262,824"
Riparian,Columbia Bottomlands Forest and Woodland,"262,628"
Riparian,Southern Atlantic Coastal Plain Tidal Wooded Swamp,"261,265"
Riparian,Gulf Coast Chenier Plain Salt and Brackish Tidal Marsh,"254,096"
Riparian,Southern Coastal Plain Oak Dome and Hammock,"246,571"
Riparian,Southeastern Great Plains Floodplain Herbaceous,"242,758"
Riparian,Atlantic Coastal Plain Blackwater Stream Floodplain Herbaceous,"239,907"
Riparian,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Woodland,"230,734"
Riparian,Mississippi River High Floodplain (Bottomland) Herbaceous,"223,647"
Riparian,Lower Mississippi River Flatwoods,"223,464"
Riparian,Temperate Pacific Subalpine-Montane Wet Meadow,"207,104"
Riparian,Laurentian-Acadian Alkaline Fen,"205,325"
Riparian,South Florida Cypress Dome,"200,206"
Riparian,Interior West Ruderal Riparian Forest,"194,479"
Riparian,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,"185,189"
Riparian,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,"185,135"
Riparian,South Florida Slough Gator Hole and Willow Head Woodland,"178,652"
Riparian,West Gulf Coastal Plain Near-Coast Large River Swamp,"174,128"
Riparian,Temperate Pacific Tidal Salt and Brackish Marsh,"173,748"
Riparian,Northern Atlantic Coastal Plain Pitch Pine Lowland,"169,978"
Riparian,North Pacific Lowland Riparian Shrubland,"169,322"
Riparian,Great Basin Foothill and Lower Montane Riparian Herbaceous,"167,734"
Riparian,North-Central Interior Wet Flatwoods,"165,992"
Riparian,East Gulf Coastal Plain Small Stream and River Floodplain Herbaceous,"163,980"
Riparian,Northern Atlantic Coastal Plain Basin Peat Swamp,"159,746"
Riparian,Florida Big Bend Salt and Brackish Tidal Marsh,"158,823"
Riparian,South-Central Interior Large Floodplain Herbaceous,"158,634"
Riparian,Mississippi River Riparian Forest,"155,869"
Riparian,Mediterranean California Foothill and Lower Montane Riparian Shrubland,"147,508"
Riparian,North-Central Interior Shrub Swamp,"146,157"
Riparian,Texas Coast Salt and Brackish Tidal Marsh,"145,233"
Riparian,Boreal Riparian Stringer Forest and Shrubland,"141,911"
Riparian,Edwards Plateau Riparian Forest and Woodland,"141,726"
Riparian,Pacific Maritime Herbaceous Wetlands,"140,890"
Riparian,West Gulf Coastal Plain Seepage Swamp and Baygall,"140,050"
Riparian,Atlantic Coastal Plain Embayed Region Tidal Salt and Brackish Marsh,"139,766"
Riparian,North American Warm Desert Lower Montane Riparian Woodland,"139,483"
Riparian,West Gulf Coastal Plain Small Stream and River Herbaceous,"139,290"
Riparian,Northern Rocky Mountain Lower Montane Riparian Shrubland,"136,097"
Riparian,Northwestern Great Plains Riparian Shrubland,"131,505"
Riparian,Columbia Basin Foothill Riparian Woodland,"130,533"
Riparian,West Gulf Coastal Plain Large River Floodplain Herbaceous,"130,066"
Riparian,Edwards Plateau Riparian Shrubland,"129,000"
Riparian,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,"126,266"
Riparian,Aleutian Shrub Floodplains,"125,520"
Riparian,South Florida Slough Gator Hole and Willow Head Herbaceous,"119,734"
Riparian,Northwestern Great Plains Floodplain Forest and Woodland,"118,648"
Riparian,Acadian-Appalachian Conifer Seepage Forest,"114,970"
Riparian,Tamaulipan Ramadero,"112,588"
Riparian,Western Great Plains Floodplain Shrubland,"111,548"
Riparian,Boreal Aquatic Beds,"108,059"
Riparian,Texas Coast Fresh and Oligohaline Tidal Marsh,"102,239"
Riparian,South Florida Hydric Hammock,"101,344"
Riparian,North American Warm Desert Riparian Shrubland,"99,777"
Riparian,South Florida Bayhead Swamp,"98,518"
Riparian,Southern Piedmont Large Floodplain Forest,"95,421"
Riparian,Southern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,"92,573"
Riparian,North American Warm Desert Lower Montane Riparian Shrubland,"81,224"
Riparian,California Central Valley Riparian Woodland,"79,183"
Riparian,East Gulf Coastal Plain Wet Prairie,"78,858"
Riparian,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,"76,722"
Riparian,South Florida Pond-apple/Popash Slough,"76,653"
Riparian,Northern Atlantic Coastal Plain Tidal Swamp,"75,616"
Riparian,North American Warm Desert Cienega,"75,367"
Riparian,California Central Valley Riparian Shrubland,"70,320"
Riparian,South-Central Interior Small Stream and Riparian Herbaceous,"68,145"
Riparian,Texas Coast Salt and Brackish Tidal Marsh Shrubland,"67,601"
Riparian,Central Appalachian River Floodplain Forest,"66,165"
Riparian,Great Basin Foothill and Lower Montane Riparian Woodland,"65,600"
Riparian,South Florida Dwarf Cypress Savanna,"65,561"
Riparian,Southeastern Great Plains Riparian Shrubland,"65,036"
Riparian,Southeastern Coastal Plain Interdunal Wetland,"62,041"
Riparian,Northern Atlantic Coastal Plain Brackish Tidal Marsh,"61,462"
Riparian,Western Great Plains Saline Depression Wetland,"57,859"
Riparian,North American Warm Desert Riparian Woodland,"57,858"
Riparian,East Gulf Coastal Plain Northern Seepage Swamp,"57,032"
Riparian,Tamaulipan Floodplain Shrubland,"54,982"
Riparian,Laurentian-Acadian Floodplain Shrubland,"54,591"
Riparian,North-Central Interior and Appalachian Acidic Peatland Shrubland,"54,316"
Riparian,Central Texas Coastal Prairie River Floodplain Forest,"53,684"
Riparian,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,"53,470"
Riparian,Central Florida Herbaceous Pondshore,"53,318"
Riparian,Aleutian Forested Floodplains,"53,010"
Riparian,Southern Coastal Plain Seepage Swamp and Baygall Shrubland,"52,454"
Riparian,Caribbean Estuary Mangrove,"50,174"
Riparian,Atlantic Coastal Plain Embayed Region Tidal Freshwater Marsh,"49,816"
Riparian,Edwards Plateau Riparian Herbaceous,"49,513"
Riparian,Tamaulipan Floodplain Herbaceous,"49,076"
Riparian,Tamaulipan Riparian Herbaceous,"47,750"
Riparian,Mississippi Sound Salt and Brackish Tidal Marsh,"47,239"
Riparian,North American Warm Desert Riparian Herbaceous,"47,017"
Riparian,Tamaulipan Riparian Woodland,"46,858"
Riparian,Ozark-Ouachita Riparian Herbaceous,"46,236"
Riparian,East Gulf Coastal Plain Large River Floodplain Herbaceous,"45,429"
Riparian,South-Central Interior/Upper Coastal Plain Wet Flatwoods,"44,335"
Riparian,Great Lakes Wooded Dune and Swale,"40,742"
Riparian,Atlantic Coastal Plain Brownwater Stream Floodplain Forest,"39,164"
Riparian,North-Central Interior Shrub Alkaline Fen,"37,656"
Riparian,Tamaulipan Floodplain Woodland,"37,177"
Riparian,Texas-Louisiana Coastal Prairie,"36,655"
Riparian,Northern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,"36,538"
Riparian,Mississippi Sound Fresh and Oligohaline Tidal Marsh,"35,784"
Riparian,North-Central Appalachian Seepage Fen,"35,751"
Riparian,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,"35,492"
Riparian,Central Texas Coastal Prairie Riparian Forest,"35,405"
Riparian,North American Warm Desert Wash Shrubland,"34,555"
Riparian,Columbia Basin Foothill Riparian Herbaceous,"32,247"
Riparian,North-Central Interior Floodplain Shrubland,"31,610"
Riparian,Southeastern Great Plains Floodplain Shrubland,"30,333"
Riparian,Edwards Plateau Floodplain Terrace Forest and Woodland,"29,949"
Riparian,Northern Great Lakes Coastal Marsh,"29,190"
Riparian,Florida River Floodplain Marsh,"29,092"
Riparian,Columbia Basin Foothill Riparian Shrubland,"28,924"
Riparian,North Pacific Hardwood-Conifer Swamp,"27,993"
Riparian,North American Warm Desert Riparian Mesquite Bosque Shrubland,"27,883"
Riparian,Northwestern Great Plains Floodplain Shrubland,"27,529"
Riparian,Florida Big Bend Fresh and Oligohaline Tidal Marsh,"26,757"
Riparian,Texas-Louisiana Coastal Prairie Pondshore,"26,668"
Riparian,South Florida Wet Marl Prairie,"26,654"
Riparian,Atlantic Coastal Plain Peatland Pocosin and Canebrake Shrubland,"23,563"
Riparian,Edwards Plateau Floodplain Terrace Shrubland,"23,265"
Riparian,Mississippi River Low Floodplain (Bottomland) Herbaceous,"22,344"
Riparian,East Gulf Coastal Plain Wet Savanna,"21,996"
Riparian,Southern Atlantic Coastal Plain Large River Floodplain Herbaceous,"21,019"
Riparian,North-Central Interior Graminoid Alkaline Fen,"20,050"
Riparian,Central Florida Wet Prairie and Herbaceous Seep,"20,049"
Riparian,Eastern Boreal Floodplain Woodland,"19,525"
Riparian,North American Warm Desert Riparian Mesquite Bosque Woodland,"18,799"
Riparian,Tamaulipan Riparian Shrubland,"18,741"
Riparian,North Pacific Montane Riparian Shrubland,"18,422"
Riparian,High Allegheny Wetland,"16,399"
Riparian,Texas Coast Fresh and Oligohaline Tidal Marsh Shrubland,"16,102"
Riparian,Central Appalachian Stream and Riparian Shrubland,"15,935"
Riparian,Edwards Plateau Floodplain Terrace Herbaceous,"13,666"
Riparian,Tamaulipan Closed Depression Wetland Shrubland,"13,312"
Riparian,Northern Atlantic Coastal Plain Pond,"13,074"
Riparian,Acadian Coastal Salt Marsh,"12,437"
Riparian,Southern Atlantic Coastal Plain Depression Pondshore,"12,200"
Riparian,West Gulf Coastal Plain Herbaceous Seep and Bog,"12,188"
Riparian,Southern and Central Appalachian Bog and Fen,"11,357"
Riparian,Hawai'i Riparian Forest,"10,730"
Riparian,Hawaiian Ruderal Flooded & Swamp Forest,"10,685"
Riparian,Northern Atlantic Coastal Plain Riparian and Floodplain Herbaceous,"10,632"
Riparian,"Temperate Pacific Tidal Marshes, Aquatic Beds, and Intertidal Flats","10,451"
Riparian,Central Appalachian Stream and Riparian Herbaceous,"10,032"
Riparian,Atlantic Coastal Plain Northern Bog,"9,704"
Riparian,Piedmont Upland Depression Swamp,"8,830"
Riparian,East Gulf Coastal Plain Freshwater Tidal Wooded Swamp,"7,660"
Riparian,Hawai'i Floodplain Forest,"7,390"
Riparian,Great Lakes Wet-Mesic Lakeplain Prairie,"7,303"
Riparian,Great Plains Wooded Draw and Ravine Shrubland,"7,013"
Riparian,West Gulf Coastal Plain Large River Floodplain Shrubland,"6,965"
Riparian,East Gulf Coastal Plain Depression Pondshore,"6,733"
Riparian,Southern Piedmont Small Floodplain and Riparian Herbaceous,"6,256"
Riparian,Acadian Estuary Marsh,"6,071"
Riparian,North American Warm Desert Wash Woodland,"5,965"
Riparian,Tamaulipan Closed Depression Wetland Woodland,"5,959"
Riparian,Atlantic Coastal Plain Indian River Lagoon Tidal Marsh,"5,752"
Riparian,Northern Great Lakes Interdunal Wetland,"5,749"
Riparian,South-Central Interior Small Stream and Riparian Shrubland,"4,982"
Riparian,Acadian Maritime Bog,"4,896"
Riparian,West Gulf Coastal Plain Small Stream and River Shrubland,"4,804"
Riparian,Central Texas Coastal Prairie River Floodplain Herbaceous,"4,771"
Riparian,Great Lakes Freshwater Estuary and Delta,"4,195"
Riparian,Atlantic Coastal Plain Blackwater Stream Floodplain Shrubland,"3,848"
Riparian,Central Texas Coastal Prairie Riparian Herbaceous,"3,697"
Riparian,East Gulf Coastal Plain Small Stream and River Floodplain Shrubland,"3,599"
Riparian,Eastern Boreal Floodplain Shrubland,"3,249"
Riparian,West Gulf Coastal Plain Flatwoods Pond,"3,045"
Riparian,Mediterranean California Serpentine Foothill and Lower Montane Riparian Shrubland and Seep,"2,187"
Riparian,Hawai'i Freshwater Marsh,"2,126"
Riparian,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,"2,030"
Riparian,Piedmont Seepage Wetland,"2,027"
Riparian,Central Texas Coastal Prairie Riparian Shrubland,"1,845"
Riparian,South-Central Interior Large Floodplain Shrubland,"1,774"
Riparian,Mississippi River High Floodplain (Bottomland) Shrubland,"1,740"
Riparian,Northern Rocky Mountain Conifer Swamp,"1,196"
Riparian,Central Texas Coastal Prairie River Floodplain Shrubland,"1,051"
Riparian,Hawai'i Riparian Shrubland,927
Riparian,Southern Piedmont Large Floodplain Herbaceous,903
Riparian,Hawai'I Floodplain Shrubland,893
Riparian,Southern Piedmont Small Floodplain and Riparian Shrubland,836
Riparian,Northern Atlantic Coastal Plain Riparian and Floodplain Shrubland,819
Riparian,Gulf Coast Chenier Plain Fresh and Oligohaline Tidal Marsh Shrubland,786
Riparian,Southern Coastal Plain Herbaceous Seep and Bog,731
Riparian,Hawaiian Ruderal Freshwater Wet Meadow & Marsh,707
Riparian,Gulf Coast Chenier Plain Salt and Brackish Tidal Marsh Shrubland,649
Riparian,East Gulf Coastal Plain Large River Floodplain Shrubland,625
Riparian,Southern Ridge and Valley Seepage Fen,534
Riparian,Central Appalachian River Floodplain Shrubland,473
Riparian,Southeastern Coastal Plain Natural Lakeshore,456
Riparian,Central Appalachian River Floodplain Herbaceous,379
Riparian,Central Interior Highlands and Appalachian Sinkhole and Depression Pond,313
Riparian,Ozark-Ouachita Riparian Shrubland,286
Riparian,Southern Atlantic Coastal Plain Large River Floodplain Shrubland,214
Riparian,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Shrubland,200
Riparian,Hawaiian Ruderal Coastal Salt Marsh,162
Riparian,Atlantic Coastal Plain Sandhill Seep,161
Riparian,Southern Piedmont Large Floodplain Shrubland,111
Riparian,Mississippi River Low Floodplain (Bottomland) Shrubland,95
Riparian,Southern Appalachian Seepage Wetland,79
Riparian,Cumberland Seepage Forest,23
Shrubland,Inter-Mountain Basins Big Sagebrush Shrubland,"49,549,538"
Shrubland,Inter-Mountain Basins Big Sagebrush Steppe,"33,410,822"
Shrubland,Inter-Mountain Basins Montane Sagebrush Steppe,"30,141,827"
Shrubland,Western North American Boreal Mesic Scrub Birch-Willow Shrubland,"23,669,345"
Shrubland,Arctic Shrub-Tussock Tundra,"21,114,694"
Shrubland,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,"20,268,490"
Shrubland,Alaska Arctic Scrub Birch-Ericaceous Shrubland,"17,008,410"
Shrubland,Inter-Mountain Basins Semi-Desert Shrub-Steppe,"14,698,858"
Shrubland,Mojave Mid-Elevation Mixed Desert Scrub,"13,875,420"
Shrubland,Sonoran Paloverde-Mixed Cacti Desert Scrub,"13,251,758"
Shrubland,Western Great Plains Mesquite Shrubland,"12,892,397"
Shrubland,Chihuahuan Mixed Desert and Thornscrub,"12,639,598"
Shrubland,Inter-Mountain Basins Mixed Salt Desert Scrub,"12,627,368"
Shrubland,Apacherian-Chihuahuan Semi-Desert Shrub-Steppe,"10,997,371"
Shrubland,Alaska Arctic Mesic-Wet Willow Shrubland,"9,122,207"
Shrubland,Edwards Plateau Limestone Shrubland,"8,069,910"
Shrubland,Great Basin Xeric Mixed Sagebrush Shrubland,"7,048,060"
Shrubland,Inter-Mountain Basins Greasewood Flat,"6,341,449"
Shrubland,Chihuahuan Creosotebush Desert Scrub,"6,072,281"
Shrubland,Alaska Arctic Dwarf-Shrubland,"6,054,738"
Shrubland,Columbia Plateau Low Sagebrush Steppe,"5,209,269"
Shrubland,Tamaulipan Mixed Deciduous Thornscrub,"4,969,064"
Shrubland,Western Great Plains Sandhill Steppe,"4,875,296"
Shrubland,Colorado Plateau Blackbrush-Mormon-tea Shrubland,"4,342,746"
Shrubland,Northern and Central California Dry-Mesic Chaparral,"4,160,147"
Shrubland,Alaska Arctic Mesic Alder Shrubland,"4,113,961"
Shrubland,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland,"4,024,316"
Shrubland,Aleutian Mesic Alder-Salmonberry Shrubland,"3,980,313"
Shrubland,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,"3,979,243"
Shrubland,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,"3,954,566"
Shrubland,Western North American Boreal Alpine Dryas Dwarf-Shrubland,"3,923,601"
Shrubland,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"3,680,189"
Shrubland,Inter-Mountain Basins Mat Saltbush Shrubland,"3,600,743"
Shrubland,Arctic Shrub Tundra,"3,592,235"
Shrubland,Aleutian Crowberry-Herbaceous Heath,"3,578,458"
Shrubland,Alaska Arctic Mesic Sedge-Willow Tundra,"3,091,801"
Shrubland,Colorado Plateau Pinyon-Juniper Shrubland,"3,052,475"
Shrubland,Arctic Shrub Tussock Tundra,"3,045,021"
Shrubland,Southern Colorado Plateau Sand Shrubland,"2,814,221"
Shrubland,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,"2,769,744"
Shrubland,Alaska Arctic Acidic Dryas Dwarf-Shrubland,"2,713,165"
Shrubland,Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra,"2,540,902"
Shrubland,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,"2,474,331"
Shrubland,Tamaulipan Calcareous Thornscrub,"2,470,272"
Shrubland,Mogollon Chaparral,"2,416,891"
Shrubland,Southern California Dry-Mesic Chaparral,"2,267,688"
Shrubland,Recently Burned-Shrub Cover,"2,153,407"
Shrubland,Llano Estacado Caprock Escarpment and Breaks Shrubland and Steppe,"2,123,824"
Shrubland,Boreal Tussock Tundra,"2,091,990"
Shrubland,Rocky Mountain Lower Montane-Foothill Shrubland,"2,031,433"
Shrubland,Western North American Boreal Spruce-Lichen Woodland,"1,970,420"
Shrubland,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,"1,966,653"
Shrubland,Northern Rocky Mountain Subalpine Deciduous Shrubland,"1,842,750"
Shrubland,Arctic Shrub Sedge-Tussock-Lichen Tundra,"1,809,547"
Shrubland,Boreal Dwarf Shrub Wetland,"1,789,121"
Shrubland,Western North American Boreal Alpine Dwarf-Shrub Summit,"1,716,032"
Shrubland,Northwestern Great Plains Shrubland,"1,694,059"
Shrubland,Recently Logged-Shrub Cover,"1,656,098"
Shrubland,Chihuahuan Mixed Salt Desert Scrub,"1,645,879"
Shrubland,California Montane Woodland and Chaparral,"1,602,596"
Shrubland,Southern California Coastal Scrub,"1,584,122"
Shrubland,Tamaulipan Mesquite Upland Scrub,"1,460,067"
Shrubland,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,"1,434,431"
Shrubland,Colorado Plateau Mixed Low Sagebrush Shrubland,"1,376,795"
Shrubland,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,"1,310,441"
Shrubland,Columbia Plateau Scabland Shrubland,"1,266,504"
Shrubland,Chihuahuan Succulent Desert Scrub,"1,181,266"
Shrubland,Alaskan Pacific Maritime Alpine Dwarf-Shrubland,"1,146,830"
Shrubland,Arctic Herbaceous Sedge-Tussock-Lichen Tundra,"1,139,376"
Shrubland,Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra,"987,232"
Shrubland,Alaska Arctic Acidic Sparse Tundra,"968,216"
Shrubland,Alaska Arctic Mesic Sedge-Dryas Tundra,"893,344"
Shrubland,Sonora-Mojave Mixed Salt Desert Scrub,"837,540"
Shrubland,Sonoran Mid-Elevation Desert Scrub,"770,579"
Shrubland,Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland,"708,218"
Shrubland,Central Mixedgrass Prairie Shrubland,"661,942"
Shrubland,Alaska Arctic Non-Acidic Sparse Tundra,"632,306"
Shrubland,Aleutian Mesic-Wet Willow Shrubland,"625,833"
Shrubland,Boreal Shrub Swamp,"549,326"
Shrubland,Aleutian Sparse Heath and Fell-Field,"494,441"
Shrubland,North Pacific Montane Shrubland,"483,549"
Shrubland,Rocky Mountain Alpine Dwarf-Shrubland,"478,754"
Shrubland,Alaskan Pacific Maritime Periglacial Woodland,"457,890"
Shrubland,Alaskan Pacific Maritime Avalanche Slope Shrubland,"453,670"
Shrubland,Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field,"445,438"
Shrubland,California Mesic Chaparral,"369,782"
Shrubland,Sonora-Mojave Semi-Desert Chaparral,"363,323"
Shrubland,Great Basin Semi-Desert Chaparral,"307,149"
Shrubland,Florida Peninsula Inland Scrub Shrubland,"294,138"
Shrubland,Sierra Nevada Alpine Dwarf-Shrubland,"273,490"
Shrubland,Alaska Sub-boreal Avalanche Slope Shrubland,"217,779"
Shrubland,Polynesian Ruderal Lowland Shrubland,"212,627"
Shrubland,Aleutian Oval-leaf Blueberry Shrubland,"207,506"
Shrubland,Hawai'i Montane-Subalpine Dry Shrubland,"201,881"
Shrubland,Pacific Maritime Dwarf Shrub Wetland,"191,236"
Shrubland,Alaska Arctic Lichen Tundra,"173,960"
Shrubland,Tamaulipan Saline Thornscrub,"166,800"
Shrubland,Arctic Herbaceous Tussock Tundra,"155,969"
Shrubland,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,"153,770"
Shrubland,Madrean Oriental Chaparral,"137,950"
Shrubland,Northern California Coastal Scrub,"132,514"
Shrubland,Arctic Dwarf Shrub Wetland,"117,692"
Shrubland,Klamath-Siskiyou Xeromorphic Serpentine Chaparral,"92,562"
Shrubland,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,"80,973"
Shrubland,Alaskan Pacific Maritime Periglacial Shrubland,"78,078"
Shrubland,Northern Rocky Mountain Avalanche Chute Shrubland,"65,717"
Shrubland,Sonoran Granite Outcrop Desert Scrub,"50,413"
Shrubland,Recently Disturbed Other-Shrub Cover,"48,322"
Shrubland,Alaskan Pacific Maritime Subalpine Copperbush Shrubland,"47,598"
Shrubland,Florida Dry Prairie Shrubland,"44,015"
Shrubland,Polynesian Ruderal Subalpine-Montane Shrubland,"37,153"
Shrubland,Polynesian Ruderal Dry Scrub,"35,149"
Shrubland,California Xeric Serpentine Chaparral,"28,050"
Shrubland,Tamaulipan Lomas,"24,539"
Shrubland,North Pacific Avalanche Chute Shrubland,"22,950"
Shrubland,Hawai'i Lowland Dry Shrubland,"20,420"
Shrubland,Mediterranean California Mesic Serpentine Chaparral,"16,930"
Shrubland,Acadian-Appalachian Subalpine Heath-Krummholz,"15,277"
Shrubland,Northern Atlantic Coastal Plain Heathland,"10,966"
Shrubland,Eastern Great Plains Tallgrass Aspen Shrubland,"8,278"
Shrubland,California Maritime Chaparral,"8,037"
Shrubland,Southeast Florida Coastal Strand Shrubland,"7,352"
Shrubland,Hawai'i Wet Cliff and Ridge Crest Shrubland,"6,011"
Shrubland,Hawai'i Alpine Dwarf-Shrubland,"5,628"
Shrubland,Southwest Florida Coastal Strand Shrubland,"5,621"
Shrubland,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,"4,948"
Shrubland,Hawai'i Subalpine Mesic Shrubland,"4,600"
Shrubland,Acadian-Appalachian Alpine Tundra Shrubland,"4,393"
Shrubland,Southern Appalachian Shrub Bald,"4,025"
