GROUPVEG,BPS_NAME,Sum of ACRES
Shrubland,Inter-Mountain Basins Montane Sagebrush Steppe,"28,139,814"
Shrubland,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,"26,267,477"
Shrubland,Great Basin Xeric Mixed Sagebrush Shrubland,"22,555,004"
Shrubland,Inter-Mountain Basins Big Sagebrush Shrubland - Upland,"20,550,929"
Shrubland,Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush,"20,367,495"
Shrubland,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Alaska Sub-boreal,"15,355,914"
Shrubland,Western Great Plains Sandhill Steppe,"13,843,941"
Shrubland,Mojave Mid-Elevation Mixed Desert Scrub,"12,508,465"
Shrubland,Inter-Mountain Basins Greasewood Flat,"10,584,008"
Shrubland,Alaska Arctic Mesic-Wet Willow Shrubland,"10,221,704"
Shrubland,Tamaulipan Mixed Deciduous Thornscrub,"8,734,631"
Shrubland,Alaska Arctic Scrub Birch-Ericaceous Shrubland - Infrequent Fire,"7,892,893"
Shrubland,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland - Complex,"7,680,598"
Shrubland,Chihuahuan Succulent Desert Scrub,"6,911,484"
Shrubland,Alaska Arctic Scrub Birch-Ericaceous Shrubland - Frequent Fire,"6,849,798"
Shrubland,Sonoran Granite Outcrop Desert Scrub,"5,893,991"
Shrubland,Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert,"5,790,696"
Shrubland,Alaska Arctic Mesic Alder Shrubland,"5,184,900"
Shrubland,Sonora-Mojave Mixed Salt Desert Scrub,"5,007,754"
Shrubland,Inter-Mountain Basins Semi-Desert Shrub-Steppe,"4,766,422"
Shrubland,Alaska Arctic Dwarf-Shrubland - Frequent Fire,"4,690,296"
Shrubland,Mogollon Chaparral,"4,503,138"
Shrubland,Northern and Central California Dry-Mesic Chaparral,"4,408,411"
Shrubland,Aleutian Mesic Alder-Salmonberry Shrubland,"4,016,299"
Shrubland,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,"3,800,843"
Shrubland,Southern California Coastal Scrub,"3,676,255"
Shrubland,Northwestern Great Plains Shrubland,"3,668,026"
Shrubland,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"3,642,283"
Shrubland,Aleutian Crowberry-Herbaceous Heath,"3,581,145"
Shrubland,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,"3,432,798"
Shrubland,Chihuahuan Mixed Desert and Thorn Scrub - Steppe,"3,321,063"
Shrubland,Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush,"3,312,627"
Shrubland,Inter-Mountain Basins Mat Saltbush Shrubland,"3,156,023"
Shrubland,Alaska Arctic Mesic Sedge-Willow Tundra,"3,074,457"
Shrubland,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,"2,754,736"
Shrubland,Alaska Arctic Acidic Dryas Dwarf-Shrubland,"2,693,041"
Shrubland,Sonoran Paloverde-Mixed Cacti Desert Scrub,"2,479,749"
Shrubland,Sonoran Mid-Elevation Desert Scrub,"2,439,598"
Shrubland,Alaskan Pacific Maritime Alpine Dwarf-Shrubland,"2,414,630"
Shrubland,Southern California Dry-Mesic Chaparral,"2,392,660"
Shrubland,Chihuahuan Creosotebush Desert Scrub,"2,327,576"
Shrubland,Colorado Plateau Mixed Low Sagebrush Shrubland,"2,300,726"
Shrubland,Western Great Plains Wooded Draw and Ravine,"2,221,918"
Shrubland,Southern Colorado Plateau Sand Shrubland,"2,103,489"
Shrubland,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,"1,949,006"
Shrubland,Sonora-Mojave Semi-Desert Chaparral,"1,936,915"
Shrubland,Colorado Plateau Blackbrush-Mormon-tea Shrubland,"1,910,347"
Shrubland,Chihuahuan Mixed Desert and Thorn Scrub - Shrubland,"1,874,289"
Shrubland,Chihuahuan Mixed Desert and Thorn Scrub,"1,841,585"
Shrubland,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,"1,824,401"
Shrubland,Western North American Boreal Alpine Dwarf-Shrub Summit,"1,805,766"
Shrubland,Inter-Mountain Basins Big Sagebrush Shrubland,"1,747,620"
Shrubland,Tamaulipan Calcareous Thornscrub,"1,688,741"
Shrubland,Rocky Mountain Lower Montane-Foothill Shrubland,"1,654,986"
Shrubland,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,"1,524,268"
Shrubland,Alaska Arctic Dwarf-Shrubland - Infrequent Fire,"1,320,031"
Shrubland,Western Great Plains Mesquite Woodland and Shrubland,"1,258,277"
Shrubland,Columbia Plateau Scabland Shrubland,"1,202,702"
Shrubland,Apacherian-Chihuahuan Mesquite Upland Scrub,"1,109,591"
Shrubland,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,"1,106,633"
Shrubland,California Mesic Chaparral,"1,005,956"
Shrubland,Columbia Plateau Low Sagebrush Steppe,"903,500"
Shrubland,Rocky Mountain Gambel Oak-Mixed Montane Shrubland  - Continuous,"748,591"
Shrubland,Chihuahuan Mixed Salt Desert Scrub,"741,278"
Shrubland,Aleutian Mesic-Wet Willow Shrubland,"617,179"
Shrubland,Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush,"565,431"
Shrubland,Great Basin Semi-Desert Chaparral,"558,703"
Shrubland,Florida Peninsula Inland Scrub,"554,169"
Shrubland,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,"509,579"
Shrubland,Aleutian Sparse Heath and Fell-Field,"496,399"
Shrubland,California Montane Woodland and Chaparral,"489,194"
Shrubland,Alaskan Pacific Maritime Avalanche Slope Shrubland,"438,589"
Shrubland,Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy,"374,762"
Shrubland,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,"279,327"
Shrubland,Northern California Coastal Scrub,"256,668"
Shrubland,Alaska Sub-boreal Avalanche Slope Shrubland,"211,070"
Shrubland,Aleutian Oval-leaf Blueberry Shrubland,"202,098"
Shrubland,Western North American Boreal Alpine Floodplain - Higher Elevations,"171,679"
Shrubland,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Boreal,"158,412"
Shrubland,Rocky Mountain Alpine Dwarf-Shrubland,"151,745"
Shrubland,Western North American Boreal Alpine Floodplain - Lower Elevations,"145,200"
Shrubland,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,"117,671"
Shrubland,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,"110,381"
Shrubland,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,"77,489"
Shrubland,Mediterranean California Mesic Serpentine Woodland and Chaparral,"68,387"
Shrubland,Madrean Oriental Chaparral,"54,329"
Shrubland,North Pacific Montane Shrubland,"50,413"
Shrubland,Acadian-Appalachian Alpine Tundra,"45,955"
Shrubland,South Texas Lomas,"41,034"
Shrubland,California Xeric Serpentine Chaparral,"37,506"
Shrubland,North Pacific Avalanche Chute Shrubland,"36,237"
Shrubland,Rocky Mountain Lower Montane-Foothill Shrubland - No True Mountain Mahogany,"27,788"
Shrubland,Sierra Nevada Alpine Dwarf-Shrubland,"25,977"
Shrubland,California Maritime Chaparral,"21,051"
Shrubland,Mediterranean California Alpine Fell-Field,"11,872"
Shrubland,Rocky Mountain Lower Montane-Foothill Shrubland - True Mountain Mahogany,"5,234"
Shrubland,Western North American Boreal Active Inland Dune,291
Shrubland,Western North American Boreal Dry Aspen-Steppe Bluff - Higher Elevations,166
